"node1","node2","edge"
"aadA12","aadA12","1"
"qacEdelta1","aadA12","0.0869565217391304"
"sul1","aadA12","0.05"
"aadA12","qacEdelta1","1"
"qacEdelta1","qacEdelta1","1"
"sul1","qacEdelta1","1"
"aadA23","qacEdelta1","0.666666666666667"
"intI1","qacEdelta1","0.111111111111111"
"catB8","qacEdelta1","0.25"
"dfrA14","qacEdelta1","0.125"
"ANT(3'')-IIa","qacEdelta1","0.2"
"aadA8b","qacEdelta1","0.5"
"OXA-4","qacEdelta1","0.333333333333333"
"OXA-224","qacEdelta1","1"
"OXA-205","qacEdelta1","0.5"
"aadA17","qacEdelta1","1"
"OXA-9","qacEdelta1","0.666666666666667"
"aadA6","aadA6","1"
"OXA-119","aadA6","1"
"OXA-205","aadA6","0.5"
"aadA6","OXA-119","0.666666666666667"
"OXA-119","OXA-119","1"
"aadA12","sul1","0.5"
"qacEdelta1","sul1","0.869565217391304"
"sul1","sul1","1"
"aadA23","sul1","0.666666666666667"
"intI1","sul1","0.111111111111111"
"catB8","sul1","0.25"
"dfrA14","sul1","0.125"
"ANT(3'')-IIa","sul1","0.1"
"aadA8b","sul1","0.5"
"OXA-205","sul1","0.5"
"aadA17","sul1","1"
"OXA-9","sul1","0.666666666666667"
"aadS","aadS","1"
"EreD","aadS","1"
"tetX","aadS","0.125"
"Tet(X5)","aadS","1"
"mefC","aadS","1"
"aadS","EreD","0.25"
"EreD","EreD","1"
"qacEdelta1","aadA23","0.173913043478261"
"sul1","aadA23","0.2"
"aadA23","aadA23","1"
"OXA-34","aadA23","1"
"OXA-9","aadA23","0.333333333333333"
"catB2","aadA23","1"
"aadA23","OXA-34","0.166666666666667"
"OXA-34","OXA-34","1"
"tet(39)","tet(39)","1"
"mphE","tet(39)","0.130434782608696"
"msrE","tet(39)","0.130434782608696"
"tet(39)","mphE","1"
"mphE","mphE","1"
"msrE","mphE","1"
"tet(39)","msrE","1"
"mphE","msrE","1"
"msrE","msrE","1"
"qacEdelta1","intI1","0.0434782608695652"
"sul1","intI1","0.05"
"intI1","intI1","1"
"catB8","intI1","0.25"
"qacH","intI1","0.2"
"AAC(6')-Ib9","intI1","0.166666666666667"
"cmlA5","intI1","0.142857142857143"
"ANT(3'')-IIa","intI1","0.1"
"OXA-2","intI1","0.5"
"QnrVC4","intI1","0.5"
"OXA-10","intI1","0.5"
"AAC(6')-Ib-cr","intI1","0.25"
"OXA-14","intI1","1"
"qacEdelta1","catB8","0.0434782608695652"
"sul1","catB8","0.05"
"intI1","catB8","0.111111111111111"
"catB8","catB8","1"
"dfrA14","catB8","0.375"
"ANT(3'')-IIa","catB8","0.1"
"qacEdelta1","dfrA14","0.0434782608695652"
"sul1","dfrA14","0.05"
"catB8","dfrA14","0.75"
"dfrA14","dfrA14","1"
"cmlA5","dfrA14","0.142857142857143"
"ANT(3'')-IIa","dfrA14","0.2"
"AAC(6')-Ib7","dfrA14","0.5"
"catB11","dfrA14","0.2"
"ANT(2'')-Ia","dfrA14","0.428571428571429"
"VEB-6","dfrA14","0.5"
"VEB-9","dfrA14","0.5"
"intI1","qacH","0.222222222222222"
"qacH","qacH","1"
"aadA5","qacH","0.8"
"QnrVC4","qacH","0.25"
"OXA-101","qacH","1"
"AAC(6')-Ib-cr","qacH","0.25"
"intI1","AAC(6')-Ib9","0.111111111111111"
"AAC(6')-Ib9","AAC(6')-Ib9","1"
"cmlA5","AAC(6')-Ib9","0.714285714285714"
"QnrVC4","AAC(6')-Ib9","0.5"
"OXA-10","AAC(6')-Ib9","0.25"
"QnrVC5","AAC(6')-Ib9","1"
"catB3","AAC(6')-Ib9","1"
"intI1","cmlA5","0.111111111111111"
"dfrA14","cmlA5","0.125"
"AAC(6')-Ib9","cmlA5","0.833333333333333"
"cmlA5","cmlA5","1"
"QnrVC4","cmlA5","0.5"
"OXA-10","cmlA5","0.25"
"ANT(2'')-Ia","cmlA5","0.142857142857143"
"VEB-9","cmlA5","0.5"
"AAC(6')-Ib","cmlA5","1"
"acrF","acrF","1"
"acrE","acrF","0.5"
"acrS","acrF","0.5"
"acrF","acrE","1"
"acrE","acrE","1"
"acrS","acrE","1"
"acrF","acrS","1"
"acrE","acrS","1"
"acrS","acrS","1"
"qacEdelta1","ANT(3'')-IIa","0.0869565217391304"
"sul1","ANT(3'')-IIa","0.05"
"intI1","ANT(3'')-IIa","0.111111111111111"
"catB8","ANT(3'')-IIa","0.25"
"dfrA14","ANT(3'')-IIa","0.25"
"ANT(3'')-IIa","ANT(3'')-IIa","1"
"AAC(6')-Ib7","ANT(3'')-IIa","0.5"
"catB11","ANT(3'')-IIa","0.6"
"OXA-4","ANT(3'')-IIa","0.333333333333333"
"OXA-21","ANT(3'')-IIa","1"
"OXA-663","ANT(3'')-IIa","0.5"
"OXA-17","ANT(3'')-IIa","1"
"OXA-9","ANT(3'')-IIa","0.333333333333333"
"evgA","evgA","1"
"emrK","evgA","1"
"emrY","evgA","1"
"evgA","emrK","1"
"emrK","emrK","1"
"emrY","emrK","1"
"evgA","emrY","1"
"emrK","emrY","1"
"emrY","emrY","1"
"SAT-4","SAT-4","1"
"APH(3')-IIIa","SAT-4","1"
"SAT-4","APH(3')-IIIa","1"
"APH(3')-IIIa","APH(3')-IIIa","1"
"aadS","tetX","0.25"
"tetX","tetX","1"
"ErmF","tetX","1"
"mdtC","mdtC","1"
"baeS","mdtC","1"
"baeR","mdtC","1"
"mdtC","baeS","1"
"baeS","baeS","1"
"baeR","baeS","1"
"mdtC","baeR","1"
"baeS","baeR","1"
"baeR","baeR","1"
"Klebsiella pneumoniae KpnH","Klebsiella pneumoniae KpnH","1"
"emrA","Klebsiella pneumoniae KpnH","1"
"emrR","Klebsiella pneumoniae KpnH","1"
"Klebsiella pneumoniae KpnH","emrA","1"
"emrA","emrA","1"
"emrR","emrA","1"
"Klebsiella pneumoniae KpnH","emrR","0.5"
"emrA","emrR","0.5"
"emrR","emrR","1"
"tetX","ErmF","0.875"
"ErmF","ErmF","1"
"intI1","OXA-2","0.222222222222222"
"OXA-2","OXA-2","1"
"aadA5","OXA-2","0.2"
"OXA-226","OXA-2","1"
"qacEdelta1","aadA8b","0.0434782608695652"
"sul1","aadA8b","0.05"
"aadA8b","aadA8b","1"
"OXA-4","aadA8b","0.333333333333333"
"aadS","Tet(X5)","0.25"
"Tet(X5)","Tet(X5)","1"
"dfrA14","AAC(6')-Ib7","0.125"
"ANT(3'')-IIa","AAC(6')-Ib7","0.1"
"AAC(6')-Ib7","AAC(6')-Ib7","1"
"catB11","AAC(6')-Ib7","0.2"
"BEL-1","AAC(6')-Ib7","1"
"dfrA14","catB11","0.125"
"ANT(3'')-IIa","catB11","0.3"
"AAC(6')-Ib7","catB11","0.5"
"catB11","catB11","1"
"OXA-10","catB11","0.25"
"OXA-9","catB11","0.333333333333333"
"aadA","catB11","1"
"qacH","aadA5","0.4"
"OXA-2","aadA5","0.25"
"aadA5","aadA5","1"
"OXA-2","OXA-226","0.25"
"OXA-226","OXA-226","1"
"intI1","QnrVC4","0.222222222222222"
"qacH","QnrVC4","0.1"
"AAC(6')-Ib9","QnrVC4","0.333333333333333"
"cmlA5","QnrVC4","0.285714285714286"
"QnrVC4","QnrVC4","1"
"OXA-10","QnrVC4","0.25"
"AAC(6')-Ib-cr","QnrVC4","0.5"
"intI1","OXA-10","0.222222222222222"
"AAC(6')-Ib9","OXA-10","0.166666666666667"
"cmlA5","OXA-10","0.142857142857143"
"catB11","OXA-10","0.2"
"QnrVC4","OXA-10","0.25"
"OXA-10","OXA-10","1"
"AAC(6')-Ib-cr","OXA-10","0.25"
"CRP","CRP","1"
"rsmA","CRP","1"
"CRP","rsmA","1"
"rsmA","rsmA","1"
"OXA-129","OXA-129","1"
"aadA11","OXA-129","1"
"aadA10","OXA-129","1"
"OXA-129","aadA11","0.5"
"aadA11","aadA11","1"
"dfrA14","ANT(2'')-Ia","0.375"
"cmlA5","ANT(2'')-Ia","0.142857142857143"
"ANT(2'')-Ia","ANT(2'')-Ia","1"
"VEB-6","ANT(2'')-Ia","1"
"VEB-1","ANT(2'')-Ia","1"
"VEB-9","ANT(2'')-Ia","1"
"dfrA14","VEB-6","0.125"
"ANT(2'')-Ia","VEB-6","0.285714285714286"
"VEB-6","VEB-6","1"
"AAC(6')-Ib9","QnrVC5","0.166666666666667"
"QnrVC5","QnrVC5","1"
"catB3","QnrVC5","1"
"AAC(6')-Ib9","catB3","0.166666666666667"
"QnrVC5","catB3","1"
"catB3","catB3","1"
"qacEdelta1","OXA-4","0.0434782608695652"
"ANT(3'')-IIa","OXA-4","0.1"
"aadA8b","OXA-4","0.5"
"OXA-4","OXA-4","1"
"aadA6/aadA10","OXA-4","1"
"ANT(3'')-IIa","OXA-21","0.1"
"OXA-21","OXA-21","1"
"qacH","OXA-101","0.4"
"OXA-101","OXA-101","1"
"qacEdelta1","OXA-224","0.0434782608695652"
"OXA-224","OXA-224","1"
"ANT(3'')-IIa","OXA-663","0.1"
"OXA-663","OXA-663","1"
"AAC(6')-Ib-cr","OXA-663","0.25"
"qacEdelta1","OXA-205","0.0434782608695652"
"aadA6","OXA-205","0.333333333333333"
"sul1","OXA-205","0.05"
"OXA-205","OXA-205","1"
"aadA17","OXA-205","1"
"qacEdelta1","aadA17","0.0434782608695652"
"sul1","aadA17","0.05"
"OXA-205","aadA17","0.5"
"aadA17","aadA17","1"
"ANT(2'')-Ia","VEB-1","0.285714285714286"
"VEB-1","VEB-1","1"
"intI1","AAC(6')-Ib-cr","0.111111111111111"
"qacH","AAC(6')-Ib-cr","0.1"
"QnrVC4","AAC(6')-Ib-cr","0.5"
"OXA-10","AAC(6')-Ib-cr","0.25"
"OXA-663","AAC(6')-Ib-cr","0.5"
"AAC(6')-Ib-cr","AAC(6')-Ib-cr","1"
"ANT(3'')-IIa","OXA-17","0.1"
"OXA-17","OXA-17","1"
"intI1","OXA-14","0.111111111111111"
"OXA-14","OXA-14","1"
"qacEdelta1","OXA-9","0.0869565217391304"
"sul1","OXA-9","0.1"
"aadA23","OXA-9","0.166666666666667"
"ANT(3'')-IIa","OXA-9","0.1"
"catB11","OXA-9","0.2"
"OXA-9","OXA-9","1"
"dfrA14","VEB-9","0.125"
"cmlA5","VEB-9","0.142857142857143"
"ANT(2'')-Ia","VEB-9","0.285714285714286"
"VEB-9","VEB-9","1"
"aadA23","catB2","0.166666666666667"
"catB2","catB2","1"
"OXA-4","aadA6/aadA10","0.333333333333333"
"aadA6/aadA10","aadA6/aadA10","1"
"aadS","mefC","0.25"
"mefC","mefC","1"
"catB11","aadA","0.2"
"aadA","aadA","1"
"AAC(6')-Ib7","BEL-1","0.5"
"BEL-1","BEL-1","1"
"arr-3","arr-3","1"
"aadA13","arr-3","1"
"arr-3","aadA13","1"
"aadA13","aadA13","1"
"cmlA5","AAC(6')-Ib","0.142857142857143"
"AAC(6')-Ib","AAC(6')-Ib","1"
"OXA-129","aadA10","0.5"
"aadA10","aadA10","1"
